Name,log(Rgas_lerr),log(Rgas),log(Rgas_uerr),Re,Re_err,Mstar,Mstar_err,MH2,MH2_err,MHI,MHI_err,Mgas,Mgas_err,Mbar,Mbar_err,VRout,VRout_err,Rgas,Rgas_err
COS4_04519,0.013139167,0.425964757,0.013034156,2.442066731,0.067600463,40738027780,4073802778,68225224149,6796393210,8353049494,922457592.3,79334779977,6906241179,1.20E+11,89182925616,175.5497546,47.51471237,2.666642256,1.030591757
COS4_05656,0.004766286,0.398394352,0.004737797,2.384789229,0.023153293,47863009232,4786300923,51158760956,4390936678,6927585046,666830173.8,60372449067,4479608060,1.08E+11,77043495891,260.4191766,43.88058794,2.502616781,1.011002063
COS4_06487,0.019198502,0.535477083,0.019489629,4.00614663,0.0321134,75857757503,7585775750,63249759757,5403510410,8290628728,791251664.1,74276295965,5505033719,1.50E+11,1.06E+11,490.4689401,76.9281883,3.431445324,1.045548276
COS4_07901,0.022590105,0.877313681,0.02333275,5.513158982,0.111376949,6606934480,660693448,8257405351,663114610.4,1221594387,111269593.2,9882125886,679427406.1,16489060367,11887303953,53.85812695,19.85025866,7.538998916,1.054293639
COS4_08775,0.05825492,1.072503944,0.066679638,3.633863604,0.084903355,22387211386,2238721139,34308457763,3349831884,4326380616,469818191.6,40062543982,3407612275,62449755368,45893296504,92.85369082,29.284507,11.81691043,1.1547493
COS4_10344,0.017449073,0.473717528,0.018256961,2.370942994,0.086847729,9120108394,912010839.4,15827405161,1501395936,2171212669,231351968.3,18715118010,1532601674,27835226403,20819030218,96.70269153,13.10425436,2.976579784,1.041965177
COS4_11696,0.007342519,0.417872259,0.007308012,1.363559044,0.034740358,17782794100,1778279410,24439703437,2317494664,3248691592,344714598.8,28760463254,2362409075,46543257355,33814080094,157.7559096,32.62681836,2.617413023,1.0170101
COS4_12056,0.014154721,0.467760163,0.014451831,5.718108623,0.182492828,5128613840,512861384,8062460374,741580267.5,1129614290,117017279.6,9564847379,757735388,14693461219,10853063407,157.1075956,26.20910718,2.936027795,1.033482915
COS4_12476,0.018382625,0.552136657,0.019259559,1.936688609,0.043423511,11220184543,1122018454,17387306376,1625605293,2361962211,247753486.2,20528716116,1658665372,31748900659,23394886761,172.7717914,25.90598882,3.565633137,1.044290466
COS4_13038,0.010899764,0.648327613,0.010973869,3.030053801,0.069456821,20417379447,2041737945,25693638065,2424168669,3398565948,358597348.4,30213730775,2470639639,50631110222,36465585294,84.90256458,15.08111564,4.449668051,1.025502723
COS4_13701,0.012951607,0.71394819,0.01330939,4.082716026,0.101855701,43651583224,4365158322,65609976769,6513519265,8036634187,884524830.8,76298700238,6618904183,1.20E+11,87903085134,115.3342458,13.95828661,5.175450862,1.030695868
COS4_15820,0.044619492,0.981965514,0.049538922,4.146208592,0.068250347,25703957828,2570395783,39128894029,3783921478,4924857508,529576568,45678954516,3848915708,71382912343,52414314206,92.14622777,20.68511195,9.593244522,1.114515653
COS4_16172,0.019804121,0.906933239,0.020109398,7.151529606,0.041434123,54954087386,5495408739,61399486830,5397389061,8071417657,792914376.9,72134472314,5499449015,1.27E+11,90682599303,443.8030679,81.773387,8.07110949,1.047024362
COS4_16986,0.00688539,0.211957963,0.007100286,0.754384023,0.032101448,1318256739,131825673.9,2250517678,162366592.7,361810406.6,29956065.98,2731725519,167183315.4,4049982258,3033170806,96.34444237,20.19862622,1.629138336,1.016231964
COS4_17162,0.012419954,0.54365725,0.012279689,1.954552739,0.043434505,9549925860,954992586,16482057199,1552846464,2232282625,235869466,19450993090,1584217106,29000918950,21668922819,392.8901843,18.2180899,3.496690952,1.028844706
COS4_17519,0.008556615,0.400701182,0.008647941,3.402354627,0.052076857,23988329190,2398832919,36615746469,3490318465,4735828532,503533909.7,42914398417,3553986664,66902727607,49163864055,233.8127108,68.02062632,2.515945227,1.020004953
COS4_17628,0.012109748,0.747799537,0.012263658,4.360037149,0.024088603,58884365536,5888436554,56660177657,4782070107,7513189685,709355679.5,66652719938,4874246537,1.26E+11,88937919807,197.0392937,39.93928073,5.594992865,1.028458354
COS4_17657,0.015330859,0.626597538,0.015482835,3.884981247,0.024030812,20417379447,2041737945,23579130087,1943032153,3289682650,305143552.6,27954408012,1984963678,48371787458,34616734548,104.9187221,22.81194693,4.232505565,1.036112357
COS4_17808,0.015440415,0.616526679,0.015976438,3.310956348,0.043450871,52480746025,5248074602,66943567835,6398999687,8432255652,896345616.7,78158467852,6509100859,1.31E+11,94143373640,160.0778227,30.90442675,4.13548718,1.036832279
COS4_18064,0.026639949,0.610852401,0.027350659,1.867721672,0.026061233,8912509381,891250938.1,13638061082,1251442360,1853361456,190810700.9,16103031818,1276914787,25015541199,18404903075,237.8486481,34.4390831,4.081806386,1.064131868
COS4_18435,0.01446908,0.638621601,0.014574485,2.790076358,0.034659334,23442288153,2344228815,29529810927,2720826854,3901833649,402002252.3,34719249679,2772861931,58161537833,41892328321,176.8240273,34.01669741,4.351325789,1.034002969
COS4_18969,0.013545646,0.754170515,0.013503379,5.020475675,0.060591948,34673685045,3467368505,41394901031,3842182773,5383259629,557681833.1,48554636339,3913120536,83228321384,59664203209,52.41218508,14.51756389,5.677674819,1.031631307
COS4_19066,0.021564572,0.669012313,0.021827521,4.716431028,0.048456483,20892961309,2089296131,21945514794,1834448728,3049714765,286815292.1,26001635431,1873690791,46894596740,33355672341,304.5598802,34.05677358,4.666726109,1.051225933
COS4_19648,0.017185844,0.646372208,0.017240294,4.534905851,0.023951968,42657951880,4265795188,43233369122,3596613799,5829899055,543639991.1,50987134864,3668571845,93645086745,66478483589,246.7468055,30.43223875,4.429678517,1.040430488
COS4_19667,0.018040777,0.533089852,0.018831277,3.011829573,0.023966814,14454397707,1445439771,16309380996,1317240287,2316260080,211053706.7,19390006902,1346816716,33844404609,24184746861,198.5084214,55.69756666,3.412635087,1.043364863
COS4_19680,0.009065123,0.571268593,0.009114997,2.461574801,0.042440945,70794578438,7079457844,99922696215,9886580731,11993074786,1312662649,1.16E+11,10039543838,1.87E+11,1.36E+11,112.8620057,20.3592362,3.726220862,1.02115122
COS4_20449,0.016373635,0.786091344,0.016977557,3.466041951,0.069494575,10964781961,1096478196,15787994925,1472148061,2124350887,221979336.5,18613381604,1501460007,29578163566,21602879859,82.02594181,24.57055146,6.110705359,1.03914392
COS4_20595,0.014671801,0.48068838,0.014841351,2.545276033,0.034747796,12022644346,1202264435,17332993155,1599916113,2322447112,240110632.6,20421847813,1631476069,32444492160,23698013528,175.3227633,39.63451269,3.024742304,1.034562147
COS4_21570,0.022819157,0.683642465,0.024066376,2.274001709,0.033940324,19952623150,1995262315,29810379963,2858155424,3776304938,402894138,34832865530,2907952338,54785488680,40142691634,331.9220462,36.63722463,4.826612852,1.055463487
COS4_23070,0.011556251,0.556012133,0.011735085,2.077309574,0.015677808,2691534804,269153480.4,4790786459,361404103.5,746753008.7,64358427.07,5783967960,371402372.7,8475502764,6379548963,137.0283874,21.48288622,3.597593856,1.027177925
COS4_23890,0.016721334,0.782320343,0.017470291,7.961836746,0.04729804,67608297539,6760829754,57265289380,4721228299,7587527373,699721882.8,67356700786,4812075337,1.35E+11,95434831361,366.3191176,62.88965369,6.057875487,1.040150002
COS4_24738,0.015880455,0.528652399,0.016399376,2.711335064,0.130352647,10471285481,1047128548,14913165737,1425799357,2020973961,216713267.2,17601061106,1454640698,28072346586,20480360633,197.3085276,34.63398619,3.377943638,1.037862913
GS4_00984,0.016839163,0.572729789,0.017205548,4.543161605,0.142207694,3019951720,301995172,3490539649,225355324.2,547840877.4,40448250.65,4219168016,231687398,7239119736,5188592019,167.4600055,25.98934304,3.738778953,1.039973789
GS4_01962,0.01645654,0.525328478,0.016713429,1.552813611,0.051760454,2884031503,288403150.3,4092775257,349871173.6,602954344,58429995.46,4894704534,358397791,7778736037,5681176831,120.7975825,15.54751865,3.352188856,1.038926929
GS4_05881,0.011348743,0.665227955,0.011372208,6.824520221,0.106761448,6025595861,602559586.1,8788094736,735906114.3,1290391513,122438596.5,10504315448,753708007.2,16529911309,12109849236,384.5333477,43.97690863,4.626237829,1.026503597
GS4_09989,0.011555068,0.411388654,0.011735773,2.347220224,0.023472202,4466835922,446683592.2,6189477596,465167298.5,939564980.6,80373100.38,7439099020,477291753.7,11905934942,8677143389,100.9122079,18.30637839,2.578627762,1.02717734
